channelName,subscriberCount,averageViews,averageLikes,country,category_1,category_2,category_3,category_4,category_5,category_6,category_7,category_8,category_9,subs_tier,engagement_rate
Marti Hamilton A Level History,122,93.14583333333331,3.3958333333333335,,Knowledge,,,,,,,,,Emerging,2.7834699453551917
サイエンスドリーム 【Science Dream】,423000,447941.39795918367,2998.36,JP,Knowledge,,,,,,,,,Mid-tier influencer,0.7088321513002364
Muslim Education Centre  (MECAWT),163,97.2741935483871,2.64,GB,Society,Religion,,,,,,,,Emerging,1.6196319018404908
Travel with delowar,249,516.0636363636364,6.5,,Lifestyle (sociology),Tourism,,,,,,,,Emerging,2.610441767068273
SCIENCE FACTION - Topic,6,27.666666666666668,1.0,,Electronic music,Music,,,,,,,,Emerging,16.666666666666668
RMpro Beauty,218,3388.5333333333333,66.13333333333334,,Physical attractiveness,Lifestyle (sociology),,,,,,,,Emerging,30.336391437308873
You Fashion ,1860,3663.5,31.16,,Lifestyle (sociology),Fashion,Hobby,,,,,,,Nano-influencer,1.675268817204301
Amerigo Education,497,625.4333333333333,3.16,US,Knowledge,,,,,,,,,Emerging,0.635814889336016
Shyam fitness ,318,851.9387755102041,8.06,,Physical fitness,Lifestyle (sociology),Health,,,,,,,Emerging,2.5345911949685536
Kichify Music - Topic,5,35.84,3.96,,Music,Pop music,Rhythm and blues,Soul music,Electronic music,,,,,Emerging,79.2
UK News in Pictures ,1760,545.5475168608216,3.96,GB,Society,,,,,,,,,Nano-influencer,0.225
Past Perfect Vintage Music,345000,50121.43393782384,1001.86,GB,Jazz,Music,Pop music,,,,,,,Mid-tier influencer,0.2903942028985507
Curionautes des sciences,49100,77317.14666666667,387.7,FR,Film,Entertainment,Knowledge,Television program,,,,,,Micro-influencer,0.789613034623218
Street Fashion Stockholm,2420,12173.869565217392,284.1521739130435,SE,Fashion,Lifestyle (sociology),,,,,,,,Nano-influencer,11.741825368307584
Kalclash Fitness,26500,29496.699421965317,473.56,GB,Physical fitness,Lifestyle (sociology),Health,,,,,,,Micro-influencer,1.7870188679245282
𝐗-𝐌𝐢𝐧𝐮𝐭𝐞 𝐚𝐧𝐢𝐦𝐚𝐥𝐬,96600,31754.49930843707,20.08,EG,Entertainment,Lifestyle (sociology),Film,,,,,,,Mid-tier influencer,0.020786749482401654
The Fitness Company ,108000,57445.195995785034,28.14,GB,Lifestyle (sociology),Physical fitness,Health,,,,,,,Mid-tier influencer,0.026055555555555554
New fashion reels ,7,684.6,8.533333333333333,,Music of Asia,Hobby,Fashion,Lifestyle (sociology),,,,,,Emerging,121.90476190476191
Tech Nuhan Sandilu,49,310.85714285714283,1.1428571428571428,,Technology,Lifestyle (sociology),,,,,,,,Emerging,2.332361516034985
Zee Movies Telugu,279000,867040.2886597938,4972.44,IN,Film,Entertainment,,,,,,,,Mid-tier influencer,1.7822365591397848
History with Liam,41,266.0,10.7,GB,Society,Religion,Knowledge,,,,,,,Emerging,26.097560975609756
Foxyz Tech,14,679.4285714285714,16.571428571428573,,Technology,Lifestyle (sociology),,,,,,,,Emerging,118.36734693877553
 music ,4,48.4,0.6666666666666666,,Pop music,Music,Music of Asia,,,,,,,Emerging,16.666666666666664
Redeemer West Side Music - Topic,17,46.0,1.75,,Christian music,Music,,,,,,,,Emerging,10.294117647058824
Gulnaz Fashion,3900,9038.714285714286,173.0,IN,Fashion,Hobby,Lifestyle (sociology),,,,,,,Nano-influencer,4.435897435897436
Portsmouth F.C. History Channel,557,879.4098360655738,17.78,GB,Sport,Association football,,,,,,,,Emerging,3.192100538599641
Science Magnet,1160000,68657.38751625488,1855.4,IN,Knowledge,,,,,,,,,Mega-influencer,0.15994827586206897
RICH MUSIC ENTERTAINMENT™,5,29.0,2.3333333333333335,JM,No topic categories assigned,,,,,,,,,Emerging,46.66666666666667
Misfits of Science - Topic,288,5265.0,64.92307692307692,,Music,Hip hop music,Pop music,Electronic music,,,,,,Emerging,22.542735042735043
Reporting For Beauty,46,170.71428571428572,11.125,,Knowledge,,,,,,,,,Emerging,24.184782608695652
Art History Girl,3800,8832.192307692309,334.1923076923077,GB,Hobby,Knowledge,Lifestyle (sociology),,,,,,,Nano-influencer,8.794534412955464
John's Food And Music,400,1151.640625,13.54,GB,Lifestyle (sociology),Food,Music,,,,,,,Emerging,3.385
Fanciful Animals - Topic,1,13.2,0.3,,Music,Independent music,,,,,,,,Emerging,30.0
JTP Joss Tech Pro,441,653.4906832298136,6.18,BD,Lifestyle (sociology),Technology,,,,,,,,Emerging,1.401360544217687
Malayalam Comedy Movies,1450000,127123.89736131312,197.68,IN,Entertainment,Film,,,,,,,,Mega-influencer,0.013633103448275861
Petras Fitness,1370,367.74798387096774,6.26,GB,Health,Lifestyle (sociology),Physical fitness,,,,,,,Nano-influencer,0.4569343065693431
Avon Comedy Four - Topic,10,142.5,2.7,,Music,Jazz,,,,,,,,Emerging,27.0
Tech Minds,1520,407.3258145363408,9.42,US,Lifestyle (sociology),Technology,,,,,,,,Nano-influencer,0.6197368421052631
Cyber tech,2470,2914.8735632183907,50.52,IN,Technology,Lifestyle (sociology),,,,,,,,Nano-influencer,2.045344129554656
Live Like Animals,329,712.9032258064516,7.28,AU,Pop music,Music,Rock music,,,,,,,Emerging,2.2127659574468086
Annisa Gaming Official ,93,744.7741935483871,16.032258064516128,,No topic categories assigned,,,,,,,,,Emerging,17.238987166146373
Claro Sports,4750000,19386.794194781527,293.44,MX,Sport,Association football,,,,,,,,Mega-influencer,0.006177684210526316
Science To Skin,4,71.75,1.125,GB,Health,Lifestyle (sociology),,,,,,,,Emerging,28.125
Janki Fashion Boutique,3730,1914.611872146119,3.88,IN,Hobby,Lifestyle (sociology),Fashion,,,,,,,Nano-influencer,0.10402144772117962
Tea with Tina (Social media News ) ,1960,2712.3684210526317,26.26,US,Lifestyle (sociology),Music,,,,,,,,Nano-influencer,1.339795918367347
Animal Law TV by A-LAW,553,353.7692307692308,7.24,GB,Lifestyle (sociology),Society,Knowledge,Pet,,,,,,Emerging,1.3092224231464737
Anand Audio Kannada Comedy,942000,707911.4641509434,400.28,IN,Entertainment,Film,,,,,,,,Macro-influencer,0.04249256900212314
Asian Food Specialist,89,812.9166666666666,10.75,,Food,Lifestyle (sociology),Hobby,,,,,,,Emerging,12.07865168539326
science of universe,15,164.25,9.5,BD,Knowledge,,,,,,,,,Emerging,63.333333333333336
Bspoke Music - Topic,5,12.6875,0.3541666666666667,,Pop music,Music,Electronic music,,,,,,,Emerging,7.083333333333334
Beauty - Topic,7560,7597.885793871867,10.46,,Music of Asia,Music,,,,,,,,Nano-influencer,0.13835978835978835
THE INTERNATIONAL SPIRITUAL NEWS NETWORK,113000,6123.471468662301,5.06,US,Lifestyle (sociology),Health,,,,,,,,Mid-tier influencer,0.00447787610619469
Ultra Comedy - Topic,2,93.88888888888889,2.6666666666666665,,Film,Music,Electronic music,Entertainment,,,,,,Emerging,133.33333333333331
Odia Beauty & Lifestyle,277000,142544.49649122806,6042.36,IN,Lifestyle (sociology),Food,,,,,,,,Mid-tier influencer,2.1813574007220216
Neha Yadav The Fashion World,4860,7095.4,11.4,IN,Hobby,Lifestyle (sociology),Fashion,,,,,,,Nano-influencer,0.2345679012345679
Jake and Ella Travel,1740,1243.6379310344828,40.42,GB,Tourism,Lifestyle (sociology),Hobby,,,,,,,Nano-influencer,2.3229885057471265
UCL Medical Society Clinical Education,568,376.7377049180328,4.14,,Lifestyle (sociology),Knowledge,Health,,,,,,,Emerging,0.7288732394366196
Q The Music Show,10400,11974.669683257918,157.4,,Jazz,Music,Lifestyle (sociology),,,,,,,Micro-influencer,1.5134615384615384
Education Village Academy Trust,63,312.57142857142856,5.142857142857143,,Society,Knowledge,,,,,,,,Emerging,8.16326530612245
Rosemary Mallace Over Fifty Fitness,2020,182.59405940594056,10.56,GB,Health,Physical fitness,Lifestyle (sociology),,,,,,,Nano-influencer,0.5227722772277228
Scoop International Fashion Shows,43,214.33333333333337,1.3,GB,Fashion,Hobby,Lifestyle (sociology),,,,,,,Emerging,3.0232558139534884
Animals Speak AI,94,1929.2,14.52,IN,Film,Entertainment,Lifestyle (sociology),,,,,,,Emerging,15.446808510638299
★彡[𝐊𝐒𝐑 𝐅𝐮𝐭𝐮𝐫𝐞 𝐓𝐞𝐜𝐡]彡★,8,45.18181818181818,1.4545454545454546,IN,Technology,Lifestyle (sociology),,,,,,,,Emerging,18.181818181818183
Dance Movies Project - Topic,102,3294.1428571428573,35.42857142857143,,Music,Pop music,Electronic music,Soul music,,,,,,Emerging,34.733893557422974
Marcos Vlog Aussie,9790,2395.74297188755,4.88,AU,Lifestyle (sociology),,,,,,,,,Nano-influencer,0.049846782431052096
Professor Wilbur Belton & The LADWEC MUSIC MASS CHOIR - Topic,86,1426.0,17.470588235294116,,Society,Religion,Music,Christian music,,,,,,Emerging,20.314637482900135
AK sports ,18,1999.1666666666667,68.66666666666667,IN,Sport,Cricket,Entertainment,,,,,,,Emerging,381.4814814814815
Kon Kel Comedy,5,507.8571428571428,4.571428571428571,,Entertainment,Film,,,,,,,,Emerging,91.42857142857142
Latest Sierra Leone Music 🇸🇱,93300,15721.166377816293,193.62,GB,Hip hop music,Music,Pop music,Electronic music,,,,,,Mid-tier influencer,0.20752411575562701
The Slow Music Movement,2390,172.61583333333334,3.86,PT,Jazz,Electronic music,Music,Independent music,Rock music,,,,,Nano-influencer,0.16150627615062763
Navrit Gaming Extraa,258000,78435.17088607595,3377.58,IN,Action game,Simulation video game,Video game culture,Role-playing video game,Strategy video game,Action-adventure game,Casual game,,,Mid-tier influencer,1.309139534883721
TODAY Food,28300,11073.467674661106,27.28,,Entertainment,Television program,Food,Lifestyle (sociology),,,,,,Micro-influencer,0.09639575971731448
Russian History Museum,11300,14489.083333333334,132.64,US,Knowledge,Lifestyle (sociology),,,,,,,,Micro-influencer,1.1738053097345131
SL Travel Vlogs,36,110.82608695652172,5.695652173913044,,Lifestyle (sociology),Tourism,,,,,,,,Emerging,15.821256038647343
village sports bar streams,642,1244.3076923076924,2.02,,Music,Sport,Lifestyle (sociology),,,,,,,Emerging,0.3146417445482866
Comedy,61,218.07692307692307,14.846153846153848,PK,Entertainment,Humour,Film,,,,,,,Emerging,24.337957124842372
Movies in minutes,1,4.333333333333333,0.5555555555555556,US,Film,Entertainment,,,,,,,,Emerging,55.55555555555556
Teacher's Tech,1050000,197904.0603448276,487.18,CA,Lifestyle (sociology),Knowledge,Technology,,,,,,,Mega-influencer,0.04639809523809524
Science Magazine,333000,96300.37764705882,487.82,US,Health,Knowledge,Lifestyle (sociology),,,,,,,Mid-tier influencer,0.1464924924924925
Ravish Vlogs,177000,47406.71024734982,523.14,US,Lifestyle (sociology),Tourism,,,,,,,,Mid-tier influencer,0.2955593220338983
CP Music Group,722000,9130142.846153846,47043.2,,Hip hop music,Pop music,Music,Electronic music,Rhythm and blues,Soul music,,,,Macro-influencer,6.515678670360111
Your Food Lab,6660000,904376.2278869778,10349.86,IN,Lifestyle (sociology),Food,,,,,,,,Mega-influencer,0.1554033033033033
ML Health and Fitness,5,13.578947368421051,0.1578947368421052,,Lifestyle (sociology),Health,Physical fitness,,,,,,,Emerging,3.157894736842104
SZ Fashion Illustration,1910,1907.5042735042737,31.18,GB,Fashion,Hobby,Lifestyle (sociology),,,,,,,Nano-influencer,1.6324607329842933
Dragos Comedy,61200,6475.575780089153,172.82,US,Film,Entertainment,,,,,,,,Mid-tier influencer,0.28238562091503266
TRACKS - Travel Documentaries,722000,170904.64516129033,208.02,GB,Hobby,Television program,Lifestyle (sociology),Tourism,Entertainment,,,,,Macro-influencer,0.02881163434903047
SV2 GAMING,127000,193066.84210526315,3673.15,GB,Sports game,Video game culture,Strategy video game,,,,,,,Mid-tier influencer,2.892244094488189
Inside Movies Galore,943,491.9989722507708,0.82,US,Film,Entertainment,,,,,,,,Emerging,0.08695652173913043
Animals VS Humans,1,16.0,4.0,,No topic categories assigned,,,,,,,,,Emerging,400.0
Gorilla Science,3260,2093.659574468085,166.10638297872342,US,Politics,Society,Knowledge,,,,,,,Nano-influencer,5.095287821433233
Anaya Fashion Vlogs,7570,2951.0,34.58,PK,Hobby,Lifestyle (sociology),Fashion,,,,,,,Nano-influencer,0.45680317040951124
COMEDY BG,565,3623.5,56.03333333333333,,Film,Entertainment,Lifestyle (sociology),,,,,,,Emerging,9.91740412979351
News For Dummies,22100,5096.096467391304,201.74,CO,Politics,Society,Military,,,,,,,Micro-influencer,0.9128506787330317
Animal Wonders Montana,351000,133269.8577586207,2108.96,US,Lifestyle (sociology),Pet,,,,,,,,Mid-tier influencer,0.6008433048433048
Tech Mate - Topic,50,173.57894736842104,3.4210526315789473,,Music,Electronic music,,,,,,,,Emerging,6.842105263157895
Sierra Vlogs,867000,257214.9223300971,3848.62,US,Lifestyle (sociology),Fashion,,,,,,,,Macro-influencer,0.44390080738177623
Manhattan School Of Music Afro-Cuban Jazz Orchestra - Topic,124,3455.4615384615386,52.0,,Jazz,Music,Music of Latin America,,,,,,,Emerging,41.935483870967744
TV•BJN🌏NEWS,10,166.5,3.4285714285714284,,Politics,Society,Knowledge,,,,,,,Emerging,34.285714285714285
FAS-H  FASHION AND STYLING ,20,155.72093023255815,3.674418604651162,,Lifestyle (sociology),Hobby,Fashion,,,,,,,Emerging,18.37209302325581
News show,28800,3675.592741935484,6.58,PK,No topic categories assigned,,,,,,,,,Micro-influencer,0.022847222222222224
Adam gaming 123-4,12,61.08955223880597,1.28,,Role-playing video game,Video game culture,,,,,,,,Emerging,10.666666666666666
Marcus Greer Fitness,605000,919519.1796610168,17891.02,TR,Health,Lifestyle (sociology),Physical fitness,,,,,,,Macro-influencer,2.957193388429752
"Department for Science, Innovation and Technology",3850,1756.2823529411764,16.22,GB,Lifestyle (sociology),Knowledge,Health,Society,,,,,,Nano-influencer,0.4212987012987013
Fitness Legacy,516,1095.2222222222222,155.11111111111111,LK,Lifestyle (sociology),Health,Physical fitness,,,,,,,Emerging,30.060292850990525
JBP Sports Edits - 2nd Channel,6610,2014.5262718932445,16.64,,Sport,,,,,,,,,Nano-influencer,0.25173978819969745
Food Network Latinoamérica,273000,23085.402187120293,73.18,AR,Entertainment,Lifestyle (sociology),Food,Television program,,,,,,Mid-tier influencer,0.02680586080586081
NP Tech,67,3999.428571428571,60.857142857142854,US,Lifestyle (sociology),Technology,Video game culture,,,,,,,Emerging,90.83155650319829
DLS Teacher News,1030,2613.5726495726494,10.78,IN,Society,,,,,,,,,Nano-influencer,1.0466019417475727
Education Report on TV,3230,172.50661375661377,2.0,,Society,Politics,,,,,,,,Nano-influencer,0.06191950464396285
British Association For Local History - BALH,452,355.5731707317073,5.24,,Knowledge,,,,,,,,,Emerging,1.1592920353982301
wni news ,605,418.8732394366197,13.98,IN,Society,,,,,,,,,Emerging,2.3107438016528925
HUMAN FITNESS,958,19728.11111111111,11.72,RO,Lifestyle (sociology),Health,Physical fitness,,,,,,,Emerging,1.2233820459290188
CO.AG Music,84400,11900.005505849966,53.5,GB,Electronic music,Music,,,,,,,,Mid-tier influencer,0.06338862559241706
Aesthetics Beauty Connect,12,90.59375,0.7575757575757576,,Health,Lifestyle (sociology),,,,,,,,Emerging,6.313131313131312
Forever Family Vlogs,863000,171551.20941402498,1526.5,US,Lifestyle (sociology),,,,,,,,,Macro-influencer,0.176882966396292
sports News,33,2150.1428571428573,43.42857142857143,,Association football,Sport,,,,,,,,Emerging,131.60173160173161
S vlog 2525,38,347.41379310344826,14.344827586206897,,Music of Asia,Music,,,,,,,,Emerging,37.74954627949184
Fashion Trends & Art,1430,3911.69387755102,128.08,PK,Fashion,Lifestyle (sociology),Hobby,,,,,,,Nano-influencer,8.956643356643358
Tech Mahi.007,31,14.403361344537815,0.02,IN,Technology,Lifestyle (sociology),,,,,,,,Emerging,0.06451612903225806
Beauty By Kateryna,20300,16577.10843373494,79.14,US,Lifestyle (sociology),,,,,,,,,Micro-influencer,0.38985221674876847
funny education tutorial ,1,73.5,2.0,,No topic categories assigned,,,,,,,,,Emerging,200.0
ABC Education,55000,18613.802359882007,0.68,AU,Lifestyle (sociology),Knowledge,Society,,,,,,,Mid-tier influencer,0.0012363636363636364
Food Journey99,91,409.43055555555554,14.02,GB,Lifestyle (sociology),Food,,,,,,,,Emerging,15.406593406593407
Magnify My Food,7,551.1,7.2,,Lifestyle (sociology),Food,,,,,,,,Emerging,102.85714285714286
Matt Green Comedy,32200,13367.103448275862,1106.96,GB,Society,Humour,Politics,Film,Entertainment,,,,,Micro-influencer,3.4377639751552795
MTM Tech ,177,201.46153846153845,6.025,,Lifestyle (sociology),Technology,Video game culture,,,,,,,Emerging,3.403954802259887
Dave's Music Channel,1240,3983.298850574713,95.06,CZ,Rock music,Music,Pop music,,,,,,,Nano-influencer,7.666129032258064
Blooming Mood Music,7,59.38461538461539,2.4615384615384617,,Music,Electronic music,,,,,,,,Emerging,35.16483516483517
Cactus World News - Topic,329,3462.625,48.9375,,Pop music,Rock music,Independent music,Music,,,,,,Emerging,14.874620060790274
Maria Clara e JP Games,1700000,2112132.802690583,1594.74,,Action-adventure game,Video game culture,Role-playing video game,,,,,,,Mega-influencer,0.09380823529411765
ATHENA Gaming,2260000,268909.5755208333,16879.34,US,Role-playing video game,Action-adventure game,Video game culture,Action game,Strategy video game,,,,,Mega-influencer,0.7468734513274337
Real Science,1940000,1438950.6727272726,28652.66,US,Knowledge,Lifestyle (sociology),,,,,,,,Mega-influencer,1.476941237113402
Comedy Dabba,616,3681.5384615384614,139.42857142857142,,Humour,Entertainment,Film,,,,,,,Emerging,22.63450834879406
Pre-Education ,1,21.333333333333332,1.3333333333333333,,No topic categories assigned,,,,,,,,,Emerging,133.33333333333331
StudySmart: Science,7210,3709.1234567901233,0.34,,Knowledge,,,,,,,,,Nano-influencer,0.004715672676837725
BAD COMEDY - Topic,7,81.56666666666666,2.3,,Rock music,Independent music,Music,Pop music,Electronic music,,,,,Emerging,32.857142857142854
Gogi Tech,3780000,204350.92215176031,1312.82,IN,Lifestyle (sociology),Technology,,,,,,,,Mega-influencer,0.03473068783068783
LDN Food Finesse,5,214.9090909090909,4.818181818181818,,Lifestyle (sociology),Food,,,,,,,,Emerging,96.36363636363636
HISTORY TV18,4100000,106909.36933614333,207.32,IN,Tourism,Society,Lifestyle (sociology),Knowledge,,,,,,Mega-influencer,0.005056585365853659
Confessions of a Nail Tech,89,269.983498349835,1.68,,Lifestyle (sociology),Entertainment,Film,,,,,,,Emerging,1.8876404494382022
Clout News,174000,4990.666666666667,10.666666666666666,GB,No topic categories assigned,,,,,,,,,Mid-tier influencer,0.006130268199233716
Lexnos Gaming,237000,44903.166301009216,321.0,US,Strategy video game,Video game culture,Action game,Role-playing video game,,,,,,Mid-tier influencer,0.13544303797468354
LET's TECH,101000,233357.78712871287,29159.76,IN,Technology,Lifestyle (sociology),,,,,,,,Mid-tier influencer,28.871049504950495
Tech Pyro ,42,398.3777777777778,3.755555555555555,IN,Lifestyle (sociology),Technology,,,,,,,,Emerging,8.94179894179894
Travel Saved My Life,2200,2436.308411214953,56.4,,Tourism,Lifestyle (sociology),,,,,,,,Nano-influencer,2.5636363636363635
Tu Lover Fashion - Topic,4,78.0,1.8,,Hip hop music,Music of Latin America,Music,Pop music,Electronic music,,,,,Emerging,45.0
Southern Beauty by Christina,15,522.4285714285714,6.222222222222222,GB,Lifestyle (sociology),,,,,,,,,Emerging,41.48148148148149
Vlog 646,492000,471892.19587628864,4950.28,PL,Lifestyle (sociology),,,,,,,,,Mid-tier influencer,1.0061544715447155
Fashion and you,2240,2693.0451807228915,50.26,,Hobby,Fashion,Lifestyle (sociology),,,,,,,Nano-influencer,2.24375
Double Take Tech,2680,25329.5,704.96,GB,Lifestyle (sociology),Technology,Video game culture,,,,,,,Nano-influencer,26.3044776119403
MrYorkieLover Fitness Entertainment,230000,39363.64795187625,25.04,US,Lifestyle (sociology),Physical fitness,Health,,,,,,,Mid-tier influencer,0.01088695652173913
The Animals Tribute Channel (unofficial),295000,10159950.444444444,76809.4074074074,,Music,Pop music,Rock music,Rhythm and blues,Soul music,,,,,Mid-tier influencer,26.037087256748272
darvary beauty ,6,64.66666666666667,1.3333333333333333,BY,No topic categories assigned,,,,,,,,,Emerging,22.222222222222218
Red Wave News,118,1037.1263157894737,11.32,,Society,Politics,,,,,,,,Emerging,9.59322033898305
JBD Gaming,15000,4685.04875,163.12,GB,Action-adventure game,Video game culture,Role-playing video game,Strategy video game,Action game,,,,,Micro-influencer,1.0874666666666666
Institute of Education Dublin,5140,4510.363395225464,5.52,,Knowledge,,,,,,,,,Nano-influencer,0.10739299610894941
AMAAN-T GAMING,760000,332512.43014452857,2191.14,IN,Role-playing video game,Action game,Video game culture,Action-adventure game,Strategy video game,Simulation video game,,,,Macro-influencer,0.2883078947368421
Miss Clarke Does Science,726,5728.5,49.0,GB,Knowledge,,,,,,,,,Emerging,6.74931129476584
Drift Off To History,3050,4984.027777777777,56.416666666666664,GB,Religion,Knowledge,,,,,,,,Nano-influencer,1.8497267759562839
Good Travel,57,298.0,1.5,US,Lifestyle (sociology),Tourism,,,,,,,,Emerging,2.6315789473684212
Santa Barbara County Education Office,205,152.33913043478262,1.08,US,Knowledge,Society,Politics,,,,,,,Emerging,0.526829268292683
Next Generation Science,208000,42632.35648148148,95.42,AU,Lifestyle (sociology),Knowledge,,,,,,,,Mid-tier influencer,0.045875
Sport Klub,449000,24300.43015491,174.84,RS,Tennis,Sport,,,,,,,,Mid-tier influencer,0.03893986636971047
Center For Political Education,2090,616.5436241610738,32.6,,Society,Politics,,,,,,,,Nano-influencer,1.5598086124401913
Travel and dive with D,17,106.0,3.111111111111111,AT,Lifestyle (sociology),Tourism,Hobby,,,,,,,Emerging,18.300653594771244
Zacharias Stand-Up Comedy,6140,9370.216216216217,57.4,,Film,Entertainment,Lifestyle (sociology),,,,,,,Nano-influencer,0.9348534201954397
Science Trash,877000,951761.2312138728,27373.54,FR,Knowledge,,,,,,,,,Macro-influencer,3.1212702394526795
Nicolas Beauty Blog,61,189.72727272727272,8.545454545454545,GB,Lifestyle (sociology),,,,,,,,,Emerging,14.008941877794337
Ro Boyle Comedy,2130,1502.3245614035088,10.16,,Film,Entertainment,,,,,,,,Nano-influencer,0.47699530516431926
Ady's smart World ,1300,1607.5882352941176,65.05882352941177,GB,Lifestyle (sociology),Technology,,,,,,,,Nano-influencer,5.004524886877828
animals.are.eating,12,478.625,12.0,,Entertainment,Lifestyle (sociology),Pet,Food,,,,,,Emerging,100.0
Baseball Hockey Sports Crew - Topic,3430,59198.73333333333,1376.98,,Music,Pop music,,,,,,,,Nano-influencer,40.14518950437318
Paul Edwards Fitness,224,263.19607843137254,2.52,,Lifestyle (sociology),Physical fitness,Health,,,,,,,Emerging,1.125
Kenzot Animals,26,1334.888888888889,0.8888888888888888,GB,Lifestyle (sociology),Pet,,,,,,,,Emerging,3.4188034188034186
Aj's Cycling vLog,20400,9327.70859538784,87.26,IN,Vehicle,Lifestyle (sociology),Sport,,,,,,,Micro-influencer,0.4277450980392157
Hezo Music - Topic,656,10885.5,210.71428571428572,,Electronic music,Music,Pop music,Hip hop music,Music of Asia,,,,,Emerging,32.12108013937282
Science with Hazel,99200,9664.353007945516,70.38,GB,Knowledge,,,,,,,,,Mid-tier influencer,0.0709475806451613
SN Music Education - Topic,150,32.833919156414765,0.02,,Independent music,Music,Classical music,,,,,,,Emerging,0.013333333333333334
Rachel Vlogs (MissRBaller),753000,99953.55246738512,820.34,,Lifestyle (sociology),,,,,,,,,Macro-influencer,0.10894289508632138
Sports-Boy16,171,554.0731707317074,7.5,GB,Lifestyle (sociology),Association football,Sport,Motorsport,Vehicle,,,,,Emerging,4.385964912280702
Hot Erotic Movies,366,478.7654867256637,3.78,,Entertainment,Film,,,,,,,,Emerging,1.0327868852459017
Beamly Beauty,135,25708.64285714286,8.214285714285714,GB,Lifestyle (sociology),,,,,,,,,Emerging,6.084656084656084
More Movies,104,15.5,0.5,GB,No topic categories assigned,,,,,,,,,Emerging,0.4807692307692308
"News, Books, Biographies & Updates",1,11.909090909090908,0.0909090909090909,,No topic categories assigned,,,,,,,,,Emerging,9.09090909090909
fashion world,94,2161.1428571428573,56.857142857142854,,Lifestyle (sociology),Fashion,,,,,,,,Emerging,60.48632218844985
Gaurav Kapoor Vlogs,432000,310330.7032258065,5315.48,IN,Tourism,Lifestyle (sociology),,,,,,,,Mid-tier influencer,1.2304351851851851
The Buck Starts Here - History of Presidents,143,394.2950819672131,3.84,US,Politics,Society,Entertainment,Knowledge,,,,,,Emerging,2.6853146853146854
EMK Tech Zone,14100,3564.5315315315315,16.04,PK,Technology,Lifestyle (sociology),,,,,,,,Micro-influencer,0.11375886524822695
Science with Ankit ,2,20.3,2.4,IN,Knowledge,Lifestyle (sociology),Health,Film,Entertainment,,,,,Emerging,120.0
MR. BENTE BOY VLOG,538000,96310.43597883596,4797.94,,Lifestyle (sociology),,,,,,,,,Macro-influencer,0.891810408921933
Very Cool Food Reviews,2430,3210.5906040268455,105.44,,Food,Lifestyle (sociology),,,,,,,,Nano-influencer,4.3390946502057615
World Conquest Music (WCM) - Topic,401,1878.7666666666669,16.9,,Independent music,Music,Christian music,,,,,,,Emerging,4.214463840399002
I&C Sports ,1210,333.78350515463916,3.92,US,American football,Sport,Association football,,,,,,,Nano-influencer,0.3239669421487603
Aash Music Company,34200,9299.587155963303,15.34,NP,Pop music,Music,Music of Asia,,,,,,,Micro-influencer,0.044853801169590646
Prince Parihar vlog,21,106.9,5.2,,Entertainment,Humour,Music of Asia,Lifestyle (sociology),,,,,,Emerging,24.761904761904763
The Animals Hub,52,1047.142857142857,4.238095238095238,IN,Lifestyle (sociology),,,,,,,,,Emerging,8.15018315018315
MDs Comedy Revue,325,2988.5,20.692307692307693,,Film,Entertainment,Performing arts,,,,,,,Emerging,6.366863905325444
Science  English Medium with Chanaka sir,3270,1174.925,13.54,LK,Knowledge,,,,,,,,,Nano-influencer,0.41406727828746176
Funny Ringtones for iPhone Android & Mobile Cell Phones Parody Comedy... - Topic,44,2621.0,14.428571428571429,,Pop music,Music,Humour,Film,Entertainment,,,,,Emerging,32.79220779220779
Funny You Should Ask,16400,24199.96835443038,159.88,US,Humour,Entertainment,Television program,Film,,,,,,Micro-influencer,0.9748780487804878
Piccolo Music - Children's Songs + Nursery Rhymes,3790,69403.05479452055,88.1,GB,Entertainment,Music,Film,,,,,,,Nano-influencer,2.3245382585751977
complex tech ,5,10.0,2.5,,Lifestyle (sociology),Technology,,,,,,,,Emerging,50.0
Mr Nilu Comedy - Topic,49,2208.0,25.0,,Music,Rock music,Music of Asia,,,,,,,Emerging,51.02040816326531
Bart's Travel ,616,526.2890625,8.46,BE,Lifestyle (sociology),Tourism,,,,,,,,Emerging,1.3733766233766236
Mo'Beauty,111000,56884.81005586592,358.12,BL,Fashion,Lifestyle (sociology),,,,,,,,Mid-tier influencer,0.32263063063063063
Zumba Fitness by D G Fitness Zumba,26,102.33333333333331,1.0416666666666667,,Physical fitness,Lifestyle (sociology),Hobby,Pop music,,,,,,Emerging,4.006410256410256
miracle beauty vlog's,821000,221752.50786924936,5603.16,IN,Lifestyle (sociology),Food,,,,,,,,Macro-influencer,0.6824799025578563
travel fingers,5,64.7,2.9,,Tourism,Lifestyle (sociology),,,,,,,,Emerging,58.0
Jono Buchanan Music,13400,3735.48828125,144.18,GB,Electronic music,Music,Technology,Lifestyle (sociology),,,,,,Micro-influencer,1.0759701492537312
Atrium Fitness Ely,34,164.71428571428572,1.0714285714285714,GB,Health,Lifestyle (sociology),Physical fitness,,,,,,,Emerging,3.1512605042016806
Anh Tình Vlogs,575000,156928.2229299363,614.78,US,Lifestyle (sociology),,,,,,,,,Macro-influencer,0.10691826086956521
